ID	Gene Name	Species	GOTERM_BP_DIRECT
TBX1	T-box 1(TBX1)	Homo sapiens	GO:0001525~angiogenesis,GO:0001568~blood vessel development,GO:0001708~cell fate specification,GO:0001755~neural crest cell migration,GO:0001934~positive regulation of protein phosphorylation,GO:0001945~lymph vessel development,GO:0002053~positive regulation of mesenchymal cell proliferation,GO:0003007~heart morphogenesis,GO:0003148~outflow tract septum morphogenesis,GO:0003151~outflow tract morphogenesis,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007368~determination of left/right symmetry,GO:0007389~pattern specification process,GO:0007498~mesoderm development,GO:0007507~heart development,GO:0007517~muscle organ development,GO:0007605~sensory perception of sound,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0009952~anterior/posterior pattern specification,GO:0021644~vagus nerve morphogenesis,GO:0030855~epithelial cell differentiation,GO:0030878~thyroid gland development,GO:0035176~social behavior,GO:0035909~aorta morphogenesis,GO:0042471~ear morphogenesis,GO:0042472~inner ear morphogenesis,GO:0042473~outer ear morphogenesis,GO:0042474~middle ear morphogenesis,GO:0042475~odontogenesis of dentin-containing tooth,GO:0042693~muscle cell fate commitment,GO:0043410~positive regulation of MAPK cascade,GO:0043587~tongue morphogenesis,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0045596~negative regulation of cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048384~retinoic acid receptor signaling pathway,GO:0048514~blood vessel morphogenesis,GO:0048538~thymus development,GO:0048644~muscle organ morphogenesis,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0048703~embryonic viscerocranium morphogenesis,GO:0048752~semicircular canal morphogenesis,GO:0048844~artery morphogenesis,GO:0050679~positive regulation of epithelial cell proliferation,GO:0060017~parathyroid gland development,GO:0060023~soft palate development,GO:0060037~pharyngeal system development,GO:0060325~face morphogenesis,GO:0060415~muscle tissue morphogenesis,GO:0060982~coronary artery morphogenesis,GO:0070166~enamel mineralization,GO:0071300~cellular response to retinoic acid,GO:0090103~cochlea morphogenesis,GO:0097152~mesenchymal cell apoptotic process,GO:2000027~regulation of organ morphogenesis,GO:2001037~positive regulation of tongue muscle cell differentiation,GO:2001054~negative regulation of mesenchymal cell apoptotic process,
TBX21	T-box 21(TBX21)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,GO:0009615~response to virus,GO:0030217~T cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048304~positive regulation of isotype switching to IgG isotypes,GO:0071310~cellular response to organic substance,GO:0072676~lymphocyte migration,
TBX3	T-box 3(TBX3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001501~skeletal system development,GO:0001568~blood vessel development,GO:0001701~in utero embryonic development,GO:0001947~heart looping,GO:0003151~outflow tract morphogenesis,GO:0003167~atrioventricular bundle cell differentiation,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007569~cell aging,GO:0008284~positive regulation of cell proliferation,GO:0008595~anterior/posterior axis specification, embryo,GO:0009887~organ morphogenesis,GO:0010159~specification of organ position,GO:0019827~stem cell population maintenance,GO:0021761~limbic system development,GO:0030539~male genitalia development,GO:0030540~female genitalia development,GO:0030857~negative regulation of epithelial cell differentiation,GO:0030879~mammary gland development,GO:0032275~luteinizing hormone secretion,GO:0035115~embryonic forelimb morphogenesis,GO:0035116~embryonic hindlimb morphogenesis,GO:0035136~forelimb morphogenesis,GO:0042733~embryonic digit morphogenesis,GO:0043066~negative regulation of apoptotic process,GO:0045662~negative regulation of myoblast differentiation,GO:0045787~positive regulation of cell cycle,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046884~follicle-stimulating hormone secretion,GO:0048332~mesoderm morphogenesis,GO:0060021~palate development,GO:0060412~ventricular septum morphogenesis,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060596~mammary placode formation,GO:0060923~cardiac muscle cell fate commitment,GO:0060931~sinoatrial node cell development,GO:0090398~cellular senescence,GO:2000648~positive regulation of stem cell proliferation,
TBX6	T-box 6(TBX6)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001707~mesoderm formation,GO:0001708~cell fate specification,GO:0006351~transcription, DNA-templated,GO:0007498~mesoderm development,GO:0009653~anatomical structure morphogenesis,GO:0010977~negative regulation of neuron projection development,GO:0014043~negative regulation of neuron maturation,GO:0023019~signal transduction involved in regulation of gene expression,GO:0032525~somite rostral/caudal axis specification,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
TAGAP	T-cell activation RhoGTPase activating protein(TAGAP)	Homo sapiens	GO:0007165~signal transduction,GO:0043547~positive regulation of GTPase activity,GO:0051056~regulation of small GTPase mediated signal transduction,
TIGIT	T-cell immunoreceptor with Ig and ITIM domains(TIGIT)	Homo sapiens	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0008037~cell recognition,GO:0032695~negative regulation of interleukin-12 production,GO:0032733~positive regulation of interleukin-10 production,GO:0050868~negative regulation of T cell activation,
TBK1	TANK binding kinase 1(TBK1)	Homo sapiens	GO:0006954~inflammatory response,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0009615~response to virus,GO:0010629~negative regulation of gene expression,GO:0018105~peptidyl-serine phosphorylation,GO:0032480~negative regulation of type I interferon production,GO:0032481~positive regulation of type I interferon production,GO:0032606~type I interferon production,GO:0032727~positive regulation of interferon-alpha production,GO:0032728~positive regulation of interferon-beta production,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0035666~TRIF-dependent toll-like receptor signaling pathway,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0044565~dendritic cell proliferation,GO:0045087~innate immune response,GO:0045359~positive regulation of interferon-beta biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050830~defense response to Gram-positive bacterium,GO:0051607~defense response to virus,GO:1901214~regulation of neuron death,GO:1904417~positive regulation of xenophagy,
TAOK1	TAO kinase 1(TAOK1)	Homo sapiens	GO:0006281~DNA repair,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0007062~sister chromatid cohesion,GO:0023014~signal transduction by protein phosphorylation,GO:0031572~G2 DNA damage checkpoint,GO:0031577~spindle checkpoint,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0046330~positive regulation of JNK cascade,GO:0051493~regulation of cytoskeleton organization,GO:0097194~execution phase of apoptosis,
TEK	TEK receptor tyrosine kinase(TEK)	Homo sapiens	GO:0000165~MAPK cascade,GO:0001525~angiogenesis,GO:0001666~response to hypoxia,GO:0001934~positive regulation of protein phosphorylation,GO:0001935~endothelial cell proliferation,GO:0001938~positive regulation of endothelial cell proliferation,GO:0001958~endochondral ossification,GO:0002040~sprouting angiogenesis,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007267~cell-cell signaling,GO:0007507~heart development,GO:0010595~positive regulation of endothelial cell migration,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0016525~negative regulation of angiogenesis,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0032878~regulation of establishment or maintenance of cell polarity,GO:0034446~substrate adhesion-dependent cell spreading,GO:0043066~negative regulation of apoptotic process,GO:0043114~regulation of vascular permeability,GO:0043434~response to peptide hormone,GO:0043547~positive regulation of GTPase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0043627~response to estrogen,GO:0045766~positive regulation of angiogenesis,GO:0046777~protein autophosphorylation,GO:0048014~Tie signaling pathway,GO:0050728~negative regulation of inflammatory response,GO:0050900~leukocyte migration,GO:0051259~protein oligomerization,GO:0051591~response to cAMP,GO:0051894~positive regulation of focal adhesion assembly,GO:0051897~positive regulation of protein kinase B signaling,GO:0060216~definitive hemopoiesis,GO:0060347~heart trabecula formation,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0072012~glomerulus vasculature development,GO:1902533~positive regulation of intracellular signal transduction,GO:2000251~positive regulation of actin cytoskeleton reorganization,GO:2000351~regulation of endothelial cell apoptotic process,GO:2000352~negative regulation of endothelial cell apoptotic process,
TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1(TAB1)	Homo sapiens	GO:0000185~activation of MAPKKK activity,GO:0000187~activation of MAPK activity,GO:0001701~in utero embryonic development,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0003007~heart morphogenesis,GO:0003279~cardiac septum development,GO:0006470~protein dephosphorylation,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0030324~lung development,GO:0035904~aorta development,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043406~positive regulation of MAP kinase activity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0060976~coronary vasculature development,GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway,
TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2(TAB2)	Homo sapiens	GO:0000187~activation of MAPK activity,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0007507~heart development,GO:0010507~negative regulation of autophagy,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0045860~positive regulation of protein kinase activity,GO:0050852~T cell receptor signaling pathway,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway,
TAB3	TGF-beta activated kinase 1/MAP3K7 binding protein 3(TAB3)	Homo sapiens	GO:0000187~activation of MAPK activity,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0010507~negative regulation of autophagy,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0070423~nucleotide-binding oligomerization domain containing signaling pathway,
TIMP1	TIMP metallopeptidase inhibitor 1(TIMP1)	Homo sapiens	GO:0001775~cell activation,GO:0002576~platelet degranulation,GO:0007568~aging,GO:0008284~positive regulation of cell proliferation,GO:0009725~response to hormone,GO:0010951~negative regulation of endopeptidase activity,GO:0022617~extracellular matrix disassembly,GO:0034097~response to cytokine,GO:0042060~wound healing,GO:0043066~negative regulation of apoptotic process,GO:0043086~negative regulation of catalytic activity,GO:0043434~response to peptide hormone,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:0051216~cartilage development,GO:1901164~negative regulation of trophoblast cell migration,GO:1905049~negative regulation of metallopeptidase activity,GO:2001044~regulation of integrin-mediated signaling pathway,
TIMP2	TIMP metallopeptidase inhibitor 2(TIMP2)	Homo sapiens	GO:0007417~central nervous system development,GO:0007568~aging,GO:0008285~negative regulation of cell proliferation,GO:0009725~response to hormone,GO:0010951~negative regulation of endopeptidase activity,GO:0022617~extracellular matrix disassembly,GO:0032487~regulation of Rap protein signal transduction,GO:0034097~response to cytokine,GO:0042493~response to drug,GO:0043410~positive regulation of MAPK cascade,GO:0045666~positive regulation of neuron differentiation,GO:0045762~positive regulation of adenylate cyclase activity,GO:0045930~negative regulation of mitotic cell cycle,GO:0046580~negative regulation of Ras protein signal transduction,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:1905049~negative regulation of metallopeptidase activity,
TIMP3	TIMP metallopeptidase inhibitor 3(TIMP3)	Homo sapiens	GO:0002576~platelet degranulation,GO:0007601~visual perception,GO:0010033~response to organic substance,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0071310~cellular response to organic substance,GO:1903984~positive regulation of TRAIL-activated apoptotic signaling pathway,GO:1904684~negative regulation of metalloendopeptidase activity,
